Date,Message
2026-04-10T01:00:00.000+03:00,"2026-03-03 18:00, 5109.8, 5206.1, 5084.03, 5141, 519989, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-04 18:00, 5150.07, 5194.93, 5050.68, 5080.88, 491956, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-05 18:00, 5083.76, 5174.61, 5062.44, 5171.06, 454421, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-08 18:00, 5190.43, 5192.04, 5014.58, 5136.6, 511527, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-09 18:00, 5148.47, 5238.6, 5117.51, 5192.66, 440341, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-10 18:00, 5190.1, 5223.02, 5149.32, 5176.09, 390187, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-11 18:00, 5182.09, 5191.68, 5054.86, 5079.24, 416039, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-12 18:00, 5074.8, 5128.47, 5009.59, 5021.27, 425792, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-15 18:00, 5010.84, 5038.02, 4967.24, 5006.19, 467207, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-16 18:00, 5010.94, 5044.27, 4973.75, 5005.45, 403870, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-17 18:00, 5005.02, 5016.2, 4807, 4818.83, 438695, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-18 18:00, 4829.45, 4867.02, 4502.69, 4650.3, 536463, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-19 18:00, 4659.03, 4735.93, 4477.38, 4496.99, 529690, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-22 18:00, 4487.05, 4536.14, 4099.02, 4406.64, 620974, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-23 18:00, 4419.92, 4484.42, 4305.94, 4474.53, 525690, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-24 18:00, 4476.62, 4602.42, 4456.13, 4506.27, 508532, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-25 18:00, 4517.37, 4544.36, 4351.28, 4378.37, 535924, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-26 18:00, 4384.38, 4555.29, 4375.43, 4495.29, 468239, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-29 18:00, 4486.25, 4580.57, 4420.07, 4511.01, 499122, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-30 18:00, 4514.19, 4687.28, 4482.59, 4667.07, 502028, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-31 18:00, 4681.82, 4793.04, 4661.61, 4758.07, 477160, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-01 18:00, 4759.38, 4800.25, 4554.19, 4676.12, 501356, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-05 18:00, 4631.66, 4706.29, 4600.63, 4650.64, 426749, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-06 18:00, 4658.51, 4718.39, 4607.68, 4705.59, 478259, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-07 18:00, 4747.06, 4857.02, 4699.63, 4719.07, 485789, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-08 18:00, 4727.87, 4801.2, 4698.47, 4765.5, 418705, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-04-09 18:00, 4775.64, 4795.16, 4730.84, 4748.66, 392139, 4748.66, 4748.66"
